1,1,1,1,0.625
1,1,1,2,0.08935503341941163
1,1,1,3,0.043959449496098105
1,1,1,4,0.027606859538050914
1,1,2,1,0.08935503341941163
1,1,2,2,0.02194787379972565
1,1,2,3,0.011222918498291073
1,1,2,4,0.007134070411529962
1,1,3,1,0.043959449496098105
1,1,3,2,0.011222918498291073
1,1,3,3,0.005767822265625
1,1,3,4,0.003672498839843589
1,1,4,1,0.027606859538050914
1,1,4,2,0.007134070411529962
1,1,4,3,0.003672498839843589
1,1,4,4,0.0023396352
1,2,1,1,0.08935503341941163
1,2,1,2,0.20987654320987653
1,2,1,3,0.05052647691278628
1,2,1,4,0.02871569356776326
1,2,2,1,0.02194787379972565
1,2,2,2,0.008581657409600292
1,2,2,3,0.004542846875450067
1,2,2,4,0.0029180077773326026
1,2,3,1,0.011222918498291073
1,2,3,2,0.00393595092568291
1,2,3,3,0.002109038834629864
1,2,3,4,0.0013606134633424715
1,2,4,1,0.007134070411529962
1,2,4,2,0.002427254691942738
1,2,4,3,0.0013033483956577446
1,2,4,4,0.000841588271065532
1,3,1,1,0.043959449496098105
1,3,1,2,0.05052647691278628
1,3,1,3,0.0994873046875
1,3,1,4,0.028838686841342703
1,3,2,1,0.011222918498291073
1,3,2,2,0.004542846875450067
1,3,2,3,0.0024288531784270847
1,3,2,4,0.0015651315622164964
1,3,3,1,0.005767822265625
1,3,3,2,0.002109038834629864
1,3,3,3,0.0011311319288535766
1,3,3,4,0.0007303157173909427
1,3,4,1,0.003672498839843589
1,3,4,2,0.0013033483956577446
1,3,4,3,0.0006997017785525867
1,3,4,4,0.0004519713706490136
1,4,1,1,0.027606859538050914
1,4,1,2,0.02871569356776326
1,4,1,3,0.028838686841342703
1,4,1,4,0.05763328
1,4,2,1,0.007134070411529962
1,4,2,2,0.0029180077773326026
1,4,2,3,0.0015651315622164964
1,4,2,4,0.0010096261950840772
1,4,3,1,0.003672498839843589
1,4,3,2,0.0013606134633424715
1,4,3,3,0.0007303157173909427
1,4,3,4,0.00047168292459956376
1,4,4,1,0.0023396352
1,4,4,2,0.000841588271065532
1,4,4,3,0.0004519713706490136
1,4,4,4,0.00029200660852034006
2,1,1,1,0.08935503341941163
2,1,1,2,0.02194787379972565
2,1,1,3,0.011222918498291073
2,1,1,4,0.007134070411529962
2,1,2,1,0.20987654320987653
2,1,2,2,0.008581657409600292
2,1,2,3,0.00393595092568291
2,1,2,4,0.002427254691942738
2,1,3,1,0.05052647691278628
2,1,3,2,0.004542846875450067
2,1,3,3,0.002109038834629864
2,1,3,4,0.0013033483956577446
2,1,4,1,0.02871569356776326
2,1,4,2,0.0029180077773326026
2,1,4,3,0.0013606134633424715
2,1,4,4,0.000841588271065532
2,2,1,1,0.02194787379972565
2,2,1,2,0.008581657409600292
2,2,1,3,0.004542846875450067
2,2,1,4,0.0029180077773326026
2,2,2,1,0.008581657409600292
2,2,2,2,0.150390625
2,2,2,3,0.021467056411127197
2,2,2,4,0.01055411311478913
2,2,3,1,0.004542846875450067
2,2,3,2,0.021467056411127197
2,2,3,3,0.0074760192
2,2,3,4,0.004163899892681501
2,2,4,1,0.0029180077773326026
2,2,4,2,0.01055411311478913
2,2,4,3,0.004163899892681501
2,2,4,4,0.002393492410258147
2,3,1,1,0.011222918498291073
2,3,1,2,0.004542846875450067
2,3,1,3,0.0024288531784270847
2,3,1,4,0.0015651315622164964
2,3,2,1,0.00393595092568291
2,3,2,2,0.021467056411127197
2,3,2,3,0.08411392
2,3,2,4,0.01904141923213295
2,3,3,1,0.002109038834629864
2,3,3,2,0.0074760192
2,3,3,3,0.004647296564617721
2,3,3,4,0.0028538104107784447
2,3,4,1,0.0013606134633424715
2,3,4,2,0.004163899892681501
2,3,4,3,0.0020742856769023457
2,3,4,4,0.0013277236597395716
2,4,1,1,0.007134070411529962
2,4,1,2,0.0029180077773326026
2,4,1,3,0.0015651315622164964
2,4,1,4,0.0010096261950840772
2,4,2,1,0.002427254691942738
2,4,2,2,0.01055411311478913
2,4,2,3,0.01904141923213295
2,4,2,4,0.051351420007112736
2,4,3,1,0.0013033483956577446
2,4,3,2,0.004163899892681501
2,4,3,3,0.0028538104107784447
2,4,3,4,0.0018222159250840058
2,4,4,1,0.000841588271065532
2,4,4,2,0.002393492410258147
2,4,4,3,0.0013277236597395716
2,4,4,4,0.0008443638931320854
3,1,1,1,0.043959449496098105
3,1,1,2,0.011222918498291073
3,1,1,3,0.005767822265625
3,1,1,4,0.003672498839843589
3,1,2,1,0.05052647691278628
3,1,2,2,0.004542846875450067
3,1,2,3,0.002109038834629864
3,1,2,4,0.0013033483956577446
3,1,3,1,0.0994873046875
3,1,3,2,0.0024288531784270847
3,1,3,3,0.0011311319288535766
3,1,3,4,0.0006997017785525867
3,1,4,1,0.028838686841342703
3,1,4,2,0.0015651315622164964
3,1,4,3,0.0007303157173909427
3,1,4,4,0.0004519713706490136
3,2,1,1,0.011222918498291073
3,2,1,2,0.00393595092568291
3,2,1,3,0.002109038834629864
3,2,1,4,0.0013606134633424715
3,2,2,1,0.004542846875450067
3,2,2,2,0.021467056411127197
3,2,2,3,0.0074760192
3,2,2,4,0.004163899892681501
